codenames,feed_date,gams_source1,gams_source2,gams_age
NF54 Thaw 4-Feed13-NF54 Leiden,06/23/2021,0.7303370787,1.9,15
NF54 Thaw 7-Feed13-NF54 Leiden,06/23/2021,0.4213483146,1.8,15
NF54 Thaw 9-Feed13-NF54 Leiden,06/23/2021,1.04519774,1.8,15
NF54 Farah-Feed14-NF54 Leiden,06/29/2021,0.7945205479,1.7,16
NF54 Thaw 7-Feed14-NF54 Leiden,06/29/2021,0.4,1.6,16
NF54 Farah-Feed15-NF54 Leiden,07/05/2021,0.3816793893,0.8,14
NF135 Farah-Feed15-NF135,07/05/2021,0.08571428571,0.5,14
NF54 Farah-Feed16-NF54 Leiden,07/15/2021,0.3047091413,1.7,15
NF54 Thaw 7-Feed16-NF54 Leiden,07/15/2021,0.4864864865,2.1,15
NF54 Thaw 9-Feed16-NF54 Leiden,07/15/2021,0.5698005698,2,15
NF54 Thaw 7-Feed17-NF54 Leiden,07/21/2021,1.028571429,1.9,16
NF135 Farah-Feed17-NF135,07/21/2021,0.3867403315,1.5,16
NICK-Feed17-NICK(APL5G),07/21/2021,1.022099448,1.8,16