feed date,strain [/ code],"exflagellation, per mL","RBC, per mL",exflagellation (%),"exflagellation, top-left","exflagellation, top-right","exflagellation, bottom-right","exflagellation, bottom-left","RBC, top-left","RBC, top-right","RBC, bottom-right","RBC, bottom-left",start (MM:SS:NN),end (MM:SS:mm),,,,Notes
06/23/2021,NF54 / T4,760000,116500000,0.652360515,46,21,38,47,73,64,56,40,15:00:00,31:16:00,,,,
06/29/2021,,835000,134000000,0.6231343284,45,43,42,37,64,72,73,59,15:00:00,31:30:00,,,,
07/05/2021,NF135 / FARAH,55000,171000000,0.03216374269,2,6,2,1,85,93,82,82,15:00:00,29:45:00,,,,
07/05/2021,NF54 / FARAH,185000,142500000,0.1298245614,10,5,9,13,81,70,58,76,15:00:00,30:20:00,,,,
07/15/2021,NF54 / FARAH,590000,249000000,0.2369477912,43,21,24,30,133,124,113,128,15:00:00,39:13:00,,,,
07/15/2021,NF54 / T7,220000,54000000,0.4074074074,12,10,15,7,21,31,28,28,15:00:00,32:38:00,,,,
07/15/2021,NF54 / T9,415000,83500000,0.497005988,18,26,27,12,44,54,33,36,15:00:00,32:12:00,,,,
07/21/2021,NF135 / FARAH,20000,71500000,0.02797202797,0,1,2,1,38,28,36,41,15:00:00,31:59:00,,,,
07/21/2021,NF54 / FARAH,650000,320000000,0.203125,48,43,23,16,167,170,155,148,15:00:00,50:44:00,,,,*very dense optical field
07/21/2021,APL5G / NICK,315000,141500000,0.222614841,29,13,10,11,70,71,71,71,15:00:00,45:15:00,,,,
08/04/2021,NF54 / T7,90000,191000000,0.04712041885,12,3,3,0,99,98,100,85,15:00:00,33:32:00,,,,*called Gam 1
08/04/2021,NF54 / T9,100000,194000000,0.05154639175,9,3,4,4,107,90,93,98,15:00:00,35:52:00,,,,*called Gam 2
08/04/2021,NF54 / T4,120000,168500000,0.07121661721,4,13,4,3,96,95,67,79,15:00:00,38:23:00,,,,*called Gam 3
08/11/2021,NF54,235000,101000000,0.2326732673,13,20,6,8,43,57,57,45,15:00:00,37:35:00,,,,*called Gam 1
08/15/2021,G8,175000,82500000,0.2121212121,14,10,9,2,45,44,35,41,15:00:00,35:50:00,,,,
08/15/2021,NF54,125000,37000000,0.3378378378,2,11,10,2,16,21,18,19,15:00:00,33:46:00,,,,
08/15/2021,APL5G / NICK,75000,38000000,0.1973684211,7,6,2,0,16,21,20,19,15:00:00,28:43:00,,,,
08/26/2021,NF54,435000,71000000,0.6126760563,30,11,29,17,30,42,29,41,15:00:00,32:00:00,,,,
08/25/2021,APL5G / NICK,315000,61000000,0.5163934426,19,18,14,12,26,34,28,34,15:00:00,,,,,
08/25/2021,G8,1125000,111500000,1.00896861,82,59,50,34,57,55,56,55,15:00:00,,,,,
08/25/2021,NF54,1375000,282500000,0.4867256637,100,56,72,47,128,144,146,147,15:00:00,43:39:00,,,,*replicate measurement