date,strain [/ code],replicate,feed,RBC total,gametocyte total,culture age,gametocytemia (%),males,females,sex ratio (M/F)
06/29/2021,NF54 / T4,FALSE,13,356,26,20,0.7303370787,,,
06/29/2021,NF54 / T7,FALSE,13,356,15,20,0.4213483146,,,
06/29/2021,NF54 / T9,FALSE,13,354,37,20,1.04519774,,,
06/29/2021,NF54 / T4,FALSE,14,364,7,16,0.1923076923,,,
06/29/2021,NF54 / FARAH,FALSE,14,365,29,16,0.7945205479,,,
06/29/2021,NF54 / T7,FALSE,14,350,14,16,0.4,,,
07/05/2021,NF54 / FARAH,FALSE,15,393,15,14,0.3816793893,,,
07/05/2021,NF135 / FARAH,FALSE,15,350,3,14,0.08571428571,,,
07/15/2021,NF54  / FARAH,FALSE,16,361,11,15,0.3047091413,,,
07/15/2021,NF54 / T7,FALSE,16,370,18,15,0.4864864865,,,
07/15/2021,NF54 / T9,FALSE,16,351,20,15,0.5698005698,,,
07/21/2021,NF54 / FARAH,FALSE,17,350,36,16,1.028571429,,,
07/21/2021,NF135 / FARAH,FALSE,17,362,14,16,0.3867403315,,,
07/21/2021,APL5G / NICK,FALSE,17,362,37,16,1.022099448,,,
08/04/2021,NF54 / T7,FALSE,18a,370,13,16,0.3513513514,,,
08/04/2021,NF54 / T9,FALSE,18a,357,18,16,0.5042016807,7,11,0.636
08/04/2021,NF54 / T4,FALSE,18a,357,13,16,0.3641456583,3,10,0.300
08/04/2021,NF54 / T7,TRUE,18a,370,16,16,0.4324324324,6,10,0.600
08/04/2021,NF54 / T9,TRUE,18a,350,9,16,0.2571428571,3,6,0.500
08/11/2021,NF54,FALSE,18b,370,36,16,0.972972973,14,22,0.636
08/15/2021,G8,FALSE,19,359,33,16,0.9192200557,13,20,0.650
08/15/2021,NF54,FALSE,19,353,9,16,0.2549575071,3,6,0.500
08/15/2021,APL5G / NICK,FALSE,19,351,40,16,1.13960114,14,26,0.538
08/25/2021,NF54,FALSE,20,366,17,16,0.4644808743,10,7,1.429
08/25/2021,APL5G / NICK,FALSE,20,405,31,15,0.7654320988,6,25,0.240
08/25/2021,G8,FALSE,20,383,51,16,1.331592689,20,31,0.645